------------------------------------------------------------
Client connecting to 192.168.0.105, UDP port 5001
Sending 1000 byte datagrams, IPG target: 2.48 us (kalman adjust)
UDP buffer size:  208 KByte (default)
------------------------------------------------------------
[  1] local 192.168.0.105 port 56286 connected with 192.168.0.105 port 5001
[ ID] Interval       Transfer     Bandwidth
[  1] 322.0000-323.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 323.0000-324.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 324.0000-325.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 325.0000-326.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 326.0000-327.0000 sec   379 MBytes  3.18 Gbits/sec
[  1] 327.0000-328.0000 sec   381 MBytes  3.20 Gbits/sec
[  1] 328.0000-329.0000 sec   379 MBytes  3.18 Gbits/sec
[  1] 329.0000-330.0000 sec   383 MBytes  3.21 Gbits/sec
[  1] 330.0000-331.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 331.0000-332.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 332.0000-333.0000 sec   387 MBytes  3.25 Gbits/sec
[  1] 333.0000-334.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 334.0000-335.0000 sec   378 MBytes  3.17 Gbits/sec
[  1] 335.0000-336.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 336.0000-337.0000 sec   391 MBytes  3.28 Gbits/sec
[  1] 337.0000-338.0000 sec   389 MBytes  3.26 Gbits/sec
[  1] 338.0000-339.0000 sec   388 MBytes  3.25 Gbits/sec
[  1] 339.0000-340.0000 sec   378 MBytes  3.17 Gbits/sec
[  1] 340.0000-341.0000 sec   389 MBytes  3.26 Gbits/sec
[  1] 341.0000-342.0000 sec   385 MBytes  3.23 Gbits/sec
[  1] 342.0000-343.0000 sec   383 MBytes  3.22 Gbits/sec
[  1] 343.0000-344.0000 sec   380 MBytes  3.19 Gbits/sec
[  1] 344.0000-345.0000 sec   387 MBytes  3.24 Gbits/sec
[  1] 345.0000-346.0000 sec   384 MBytes  3.22 Gbits/sec
[  1] 346.0000-347.0000 sec   383 MBytes  3.22 Gbits/sec
[  1] 347.0000-348.0000 sec   375 MBytes  3.15 Gbits/sec
[  1] 348.0000-349.0000 sec   387 MBytes  3.24 Gbits/sec
